customer_id,zone_id,customer_name,gender,age,signup_date,customer_segment,is_active,created_at
1,2,Aryan Joshi,Male,34,2025-09-21,Food Enthusiast,True,2025-09-21
2,2,Aniket Shinde,Male,24,2024-08-16,Student,False,2024-08-16
3,6,Swara Kulkarni,Female,42,2025-01-05,Family,True,2025-01-05
4,6,Harsh Naik,Male,29,2025-12-26,Working Professional,True,2025-12-26
5,6,Tejas Deshmukh,Male,36,2024-07-13,Working Professional,True,2024-07-13
6,5,Aisha Deshmukh,Female,29,2024-05-05,Working Professional,True,2024-05-05
7,5,Meera Joshi,Female,30,2024-02-27,Working Professional,True,2024-02-27
8,8,Aarav Chavan,Male,47,2024-07-07,Family,True,2024-07-07
9,6,Pranav Kadam,Male,22,2025-10-03,Student,True,2025-10-03
10,4,Ananya Shinde,Female,38,2024-06-30,Family,True,2024-06-30
11,8,Yash Kale,Male,22,2024-07-17,Student,True,2024-07-17
12,3,Aniket Kadam,Male,26,2024-06-09,Working Professional,True,2024-06-09
13,5,Aditya Pawar,Male,24,2025-07-06,Working Professional,True,2025-07-06
14,3,Soham Kulkarni,Male,31,2025-03-17,Working Professional,True,2025-03-17
15,2,Aniket Bhosale,Male,19,2025-01-12,Student,True,2025-01-12
16,7,Aniket Deshmukh,Male,24,2024-02-06,Student,True,2024-02-06
17,7,Karan Kale,Male,25,2024-07-26,Working Professional,True,2024-07-26
18,2,Swapnil Shinde,Male,21,2024-10-25,Student,False,2024-10-25
19,6,Aniket More,Male,45,2025-03-20,Family,True,2025-03-20
20,4,Vaishnavi Jadhav,Female,26,2024-05-19,Food Enthusiast,True,2024-05-19
21,5,Vaishnavi Joshi,Female,25,2025-09-22,Working Professional,True,2025-09-22
22,1,Nikhil Shinde,Male,51,2024-10-12,Family,True,2024-10-12
23,4,Aarav Patil,Male,37,2025-09-15,Food Enthusiast,True,2025-09-15
24,7,Rohan Joshi,Male,35,2025-11-20,Working Professional,True,2025-11-20
25,6,Naina Naik,Female,26,2024-02-24,Food Enthusiast,True,2024-02-24
26,4,Karan Patil,Male,18,2024-09-05,Student,True,2024-09-05
27,1,Yash Deshmukh,Male,24,2025-11-02,Working Professional,True,2025-11-02
28,2,Nikhil Chavan,Male,26,2024-09-19,Working Professional,True,2024-09-19
29,8,Ritvik More,Male,23,2025-07-11,Working Professional,True,2025-07-11
30,6,Harsh Kadam,Male,23,2024-12-29,Student,False,2024-12-29
